center,metric,order_id,missing_date_field
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
ETSJBZLX Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
FCNZTTSU Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GGBDLMEK Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GRQDVFUA Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GUGSULTH Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
GZIUPUQQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLNGGGZT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HLZZDXCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HMRMLYEO Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
HVGUMGIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
IACCUSSM Cancer Center,Patient Progression Rate,,tumor_pickup_date
ICPXZFGA Cancer Center,Patient Progression Rate,,tumor_pickup_date
ICPXZFGA Cancer Center,Patient Progression Rate,,tumor_pickup_date
ICPXZFGA Cancer Center,Patient Progression Rate,,tumor_pickup_date
ICPXZFGA Cancer Center,Patient Progression Rate,,tumor_pickup_date
ICPXZFGA Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JDEVIIYD Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JPSWBFHI Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
JXMSLGTZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KFWUASCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KIXJBMUE Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
KYRCVVUX Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LDOASBFE Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LJERGHUY Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LMQUWARC Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
LRRMWOCT Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MDRMIFOR Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
MLEJGHRQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NBMEXGFG Cancer Center,Patient Progression Rate,,tumor_pickup_date
NDVLNJEY Cancer Center,Patient Progression Rate,,tumor_pickup_date
NDVLNJEY Cancer Center,Patient Progression Rate,,tumor_pickup_date
NDVLNJEY Cancer Center,Patient Progression Rate,,tumor_pickup_date
NDVLNJEY Cancer Center,Patient Progression Rate,,tumor_pickup_date
NDVLNJEY Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
NHYYMAPO Cancer Center,Patient Progression Rate,,tumor_pickup_date
ODHOICRR Cancer Center,Patient Progression Rate,,tumor_pickup_date
ODHOICRR Cancer Center,Patient Progression Rate,,tumor_pickup_date
ODHOICRR Cancer Center,Patient Progression Rate,,tumor_pickup_date
ODHOICRR Cancer Center,Patient Progression Rate,,tumor_pickup_date
ODHOICRR Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OETRXTJZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OLNOADGC Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OMUGYION Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
OQOOCOUH Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PAJLZFHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PGIJNJTI Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PJYCIDIZ Cancer Center,Patient Progression Rate,,tumor_pickup_date
PSNWXDYP Cancer Center,Patient Progression Rate,,tumor_pickup_date
PSNWXDYP Cancer Center,Patient Progression Rate,,tumor_pickup_date
PSNWXDYP Cancer Center,Patient Progression Rate,,tumor_pickup_date
PSNWXDYP Cancer Center,Patient Progression Rate,,tumor_pickup_date
PSNWXDYP Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QCQSPCNY Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QOYKHBAJ Cancer Center,Patient Progression Rate,,tumor_pickup_date
QUTDVNIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
QUTDVNIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
QUTDVNIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
QUTDVNIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
QUTDVNIN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RCEPUEHY Cancer Center,Patient Progression Rate,,tumor_pickup_date
RUTFJMMB Cancer Center,Patient Progression Rate,,tumor_pickup_date
RUTFJMMB Cancer Center,Patient Progression Rate,,tumor_pickup_date
RUTFJMMB Cancer Center,Patient Progression Rate,,tumor_pickup_date
RUTFJMMB Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
RXWMUILN Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SEXNYDMS Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
SHVPOEMW Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TPYWTPHK Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TQBHETAF Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TTJGAYYG Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
TVLUVKXH Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
UBEMEIRD Cancer Center,Patient Progression Rate,,tumor_pickup_date
